path,mask_path,deg_path,bg_path,text,duration,height,width,example_folder
./examples/example_0/example_0.mp4,./examples/example_0/example_0_mask.mp4,./examples/example_0/example_0.mp4,examples/example_0/bg_path/bg_video_1.mp4,"A woman stands by a window, gazing out at a cityscape dominated by modern skyscrapers. The foreground features a blurred glass surface with vertical lines, reflecting the surrounding buildings and sky. In the background, a distinctive, curved, glass-covered skyscraper with a unique, swirling design stands out, known as the Gherkin. The sky appears to be at dusk or dawn, with soft lighting and a gradient of colors. The cityscape includes other high-rise buildings, some with reflective glass facades. A construction crane is visible in the distance, indicating ongoing development. The woman, with blonde hair and wearing a blue top, turns her head slightly, maintaining a contemplative expression. The camera captures her profile against the backdrop of the urban skyline. Direction of Light: Top Light, Light Source Type: Artificial Light, Light Intensity: Moderate, Color Temperature: Neutral, Light Changes in Time: Static Light, Optical Phenomena: None.",4.08,480,832,example_0
./examples/example_0/example_0.mp4,./examples/example_0/example_0_mask.mp4,./examples/example_0/example_0.mp4,examples/example_0/bg_path/bg_video_2.mp4,"A woman stands by a window, gazing out at a cityscape dominated by modern skyscrapers. The foreground features a blurred glass surface with vertical lines, reflecting the surrounding buildings and sky. In the background, a distinctive, curved, glass-covered skyscraper with a unique, swirling design stands out, known as the Gherkin. The sky appears to be at dusk or dawn, with soft lighting and a gradient of colors. The cityscape includes other high-rise buildings, some with reflective glass facades. A construction crane is visible in the distance, indicating ongoing development. The woman, with blonde hair and wearing a blue top, turns her head slightly, maintaining a contemplative expression. The camera captures her profile against the backdrop of the urban skyline. Direction of Light: Side Light, Light Source Type: Natural Light, Light Intensity: Moderate, Color Temperature: Cool Tone, Light Changes in Time: Static Light, Optical Phenomena: Refraction/Reflection (Water Surface).",4.08,480,832,example_0
./examples/example_0/example_0.mp4,./examples/example_0/example_0_mask.mp4,./examples/example_0/example_0.mp4,examples/example_0/bg_path/bg_video_3.mp4,"A woman stands by a window, gazing out at a cityscape dominated by modern skyscrapers. The foreground features a blurred glass surface with vertical lines, reflecting the surrounding buildings and sky. In the background, a distinctive, curved, glass-covered skyscraper with a unique, swirling design stands out, known as the Gherkin. The sky appears to be at dusk or dawn, with soft lighting and a gradient of colors. The cityscape includes other high-rise buildings, some with reflective glass facades. A construction crane is visible in the distance, indicating ongoing development. The woman, with blonde hair and wearing a blue top, turns her head slightly, maintaining a contemplative expression. The camera captures her profile against the backdrop of the urban skyline. Direction of Light: Back Light, Light Source Type: Natural Light, Light Intensity: Dim, Color Temperature: Warm Tone, Light Changes in Time: Static Light, Optical Phenomena: Refraction/Reflection (Water Surface).",4.08,480,832,example_0
./examples/example_0/example_0.mp4,./examples/example_0/example_0_mask.mp4,./examples/example_0/example_0.mp4,examples/example_0/bg_path/bg_video_4.mp4,"A woman stands by a window, gazing out at a cityscape dominated by modern skyscrapers. The foreground features a blurred glass surface with vertical lines, reflecting the surrounding buildings and sky. In the background, a distinctive, curved, glass-covered skyscraper with a unique, swirling design stands out, known as the Gherkin. The sky appears to be at dusk or dawn, with soft lighting and a gradient of colors. The cityscape includes other high-rise buildings, some with reflective glass facades. A construction crane is visible in the distance, indicating ongoing development. The woman, with blonde hair and wearing a blue top, turns her head slightly, maintaining a contemplative expression. The camera captures her profile against the backdrop of the urban skyline. Direction of Light: Top Light, Light Source Type: Artificial Light, Light Intensity: Moderate, Color Temperature: Cool Tone, Light Changes in Time: Static Light, Optical Phenomena: None.",4.08,480,832,example_0
./examples/example_0/example_0.mp4,./examples/example_0/example_0_mask.mp4,./examples/example_0/example_0.mp4,examples/example_0/bg_path/bg_video_5.mp4,"A woman stands by a window, gazing out at a cityscape dominated by modern skyscrapers. The foreground features a blurred glass surface with vertical lines, reflecting the surrounding buildings and sky. In the background, a distinctive, curved, glass-covered skyscraper with a unique, swirling design stands out, known as the Gherkin. The sky appears to be at dusk or dawn, with soft lighting and a gradient of colors. The cityscape includes other high-rise buildings, some with reflective glass facades. A construction crane is visible in the distance, indicating ongoing development. The woman, with blonde hair and wearing a blue top, turns her head slightly, maintaining a contemplative expression. The camera captures her profile against the backdrop of the urban skyline. Direction of Light: Back Light, Light Source Type: Artificial Light, Light Intensity: Moderate, Color Temperature: Warm Tone, Light Changes in Time: Dynamic Light (Intensity Changing Light), Optical Phenomena: None.",4.08,480,832,example_0
./examples/example_1/example_1.mp4,./examples/example_1/example_1_mask.mp4,./examples/example_1/example_1.mp4,examples/example_1/bg_path/bg_video_1.mp4,"A woman with shoulder-length brown hair stands in front of a wooden lattice wall, captured from an eye-level camera angle. She is wearing a black dress with thin straps that cross at the back of her neck, and small, round earrings. The woman's posture is upright, and she is looking slightly downwards. The background features a traditional wooden structure with vertical slats and horizontal supports, creating a grid-like pattern. The woman turns her head to look over her shoulder, maintaining a calm and composed expression. The overall scene is serene and contemplative, with soft lighting and muted tones enhancing the naturalistic portrait photography style. Direction of Light: Top Light, Light Source Type: Artificial Light, Light Intensity: Moderate, Color Temperature: Neutral, Light Changes in Time: Static Light, Optical Phenomena: None.",4.08,480,832,example_1
./examples/example_1/example_1.mp4,./examples/example_1/example_1_mask.mp4,./examples/example_1/example_1.mp4,examples/example_1/bg_path/bg_video_2.mp4,"A woman with shoulder-length brown hair stands in front of a wooden lattice wall, captured from an eye-level camera angle. She is wearing a black dress with thin straps that cross at the back of her neck, and small, round earrings. The woman's posture is upright, and she is looking slightly downwards. The background features a traditional wooden structure with vertical slats and horizontal supports, creating a grid-like pattern. The woman turns her head to look over her shoulder, maintaining a calm and composed expression. The overall scene is serene and contemplative, with soft lighting and muted tones enhancing the naturalistic portrait photography style. Direction of Light: Side Light, Light Source Type: Natural Light, Light Intensity: Moderate, Color Temperature: Cool Tone, Light Changes in Time: Static Light, Optical Phenomena: Refraction/Reflection (Water Surface).",4.08,480,832,example_1
./examples/example_1/example_1.mp4,./examples/example_1/example_1_mask.mp4,./examples/example_1/example_1.mp4,examples/example_1/bg_path/bg_video_3.mp4,"A woman with shoulder-length brown hair stands in front of a wooden lattice wall, captured from an eye-level camera angle. She is wearing a black dress with thin straps that cross at the back of her neck, and small, round earrings. The woman's posture is upright, and she is looking slightly downwards. The background features a traditional wooden structure with vertical slats and horizontal supports, creating a grid-like pattern. The woman turns her head to look over her shoulder, maintaining a calm and composed expression. The overall scene is serene and contemplative, with soft lighting and muted tones enhancing the naturalistic portrait photography style. Direction of Light: Back Light, Light Source Type: Natural Light, Light Intensity: Dim, Color Temperature: Warm Tone, Light Changes in Time: Static Light, Optical Phenomena: Refraction/Reflection (Water Surface).",4.08,480,832,example_1
./examples/example_1/example_1.mp4,./examples/example_1/example_1_mask.mp4,./examples/example_1/example_1.mp4,examples/example_1/bg_path/bg_video_4.mp4,"A woman with shoulder-length brown hair stands in front of a wooden lattice wall, captured from an eye-level camera angle. She is wearing a black dress with thin straps that cross at the back of her neck, and small, round earrings. The woman's posture is upright, and she is looking slightly downwards. The background features a traditional wooden structure with vertical slats and horizontal supports, creating a grid-like pattern. The woman turns her head to look over her shoulder, maintaining a calm and composed expression. The overall scene is serene and contemplative, with soft lighting and muted tones enhancing the naturalistic portrait photography style. Direction of Light: Top Light, Light Source Type: Artificial Light, Light Intensity: Moderate, Color Temperature: Cool Tone, Light Changes in Time: Static Light, Optical Phenomena: None.",4.08,480,832,example_1
./examples/example_1/example_1.mp4,./examples/example_1/example_1_mask.mp4,./examples/example_1/example_1.mp4,examples/example_1/bg_path/bg_video_5.mp4,"A woman with shoulder-length brown hair stands in front of a wooden lattice wall, captured from an eye-level camera angle. She is wearing a black dress with thin straps that cross at the back of her neck, and small, round earrings. The woman's posture is upright, and she is looking slightly downwards. The background features a traditional wooden structure with vertical slats and horizontal supports, creating a grid-like pattern. The woman turns her head to look over her shoulder, maintaining a calm and composed expression. The overall scene is serene and contemplative, with soft lighting and muted tones enhancing the naturalistic portrait photography style. Direction of Light: Back Light, Light Source Type: Artificial Light, Light Intensity: Moderate, Color Temperature: Warm Tone, Light Changes in Time: Dynamic Light (Intensity Changing Light), Optical Phenomena: None.",4.08,480,832,example_1
